,Unnamed: 0,abstract,date,desk,headline,id,locations,section,snippet,source,subjects,type,url,word_count
99,99,"b'Sri Lankan officials and Western diplomats link Colombo blast that killed 18 people and wounded over 100 to Tamil Tigers, despite disclaimer by separatist group; officials see end of 15-month lull in bombings linked to inclusion of group in State Department list of terrorist organizations; attack is first to cause extensive injuries among foreigners, mainly tourists and business travelers at two top hotels near bomb site; photo (M)'",1997-10-16,Foreign Desk,b'Tamil Tigers Are Linked To Fatal Blast In Sri Lanka',nyt://article/2624e325-d28e-5f2e-9586-24a5b5f17e78,"['Sri Lanka', 'Colombo (Sri Lanka)']",World,"b'Sri Lankan officials and Western diplomats link Colombo blast that killed 18 people and wounded over 100 to Tamil Tigers, despite disclaimer by separatist group; officials see end of 15-month lull in bombings linked to inclusion of group in State ...'",The New York Times,"['United States International Relations', 'Bombs and Explosives', 'HOTELS AND MOTELS', 'INDEPENDENCE MOVEMENTS AND SECESSION', 'Terrorism']",News,https://www.nytimes.com/1997/10/16/world/tamil-tigers-are-linked-to-fatal-blast-in-sri-lanka.html,585.0
98,98,"b""Thomas L Friedman Op-Ed column on surge in Prime Min Benjamin Netanyahu's popularity in Israel in wake of bungled assassination attempt of Hamas activist in Jordan; cites Israeli rage over threat of suicide bombings, terrorism that invades every aspect of daily life (M)""",1997-10-16,Editorial Desk,b'Foreign Affairs; Cover Story',nyt://article/2fd7ea7d-7c04-508b-bb38-14125342ffc2,"['Israel', 'Jordan']",Opinion,"b""Thomas L Friedman Op-Ed column on surge in Prime Min Benjamin Netanyahu's popularity in Israel in wake of bungled assassination attempt of Hamas activist in Jordan; cites Israeli rage over threat of suicide bombings, terrorism that invades every a...""",The New York Times,"['Assassinations and Attempted Assassinations', 'Bombs and Explosives', 'Terrorism']",Op-Ed,https://www.nytimes.com/1997/10/16/opinion/foreign-affairs-cover-story.html,755.0
97,97,"b""Truck bomb that killed 18 people and wounded over 110 in Colombo, Sri Lanka, has left country's 18 million people in state of shock; Tamil Tigers, ethnic separatist group, says it was not responsible for blast (M)""",1997-10-17,Foreign Desk,"b""Bombing's Fallout Adds to the Gloom Hanging Over Sri Lanka""",nyt://article/72e8cda8-1d01-5938-97cf-17611283faa7,"['Sri Lanka', 'Colombo (Sri Lanka)']",World,"b""Truck bomb that killed 18 people and wounded over 110 in Colombo, Sri Lanka, has left country's 18 million people in state of shock; Tamil Tigers, ethnic separatist group, says it was not responsible for blast (M)""",The New York Times,"['Bombs and Explosives', 'Politics and Government', 'Terrorism']",News,https://www.nytimes.com/1997/10/17/world/bombing-s-fallout-adds-to-the-gloom-hanging-over-sri-lanka.html,563.0
96,96,"b'29 of 80 potential jurors have qualified to serve in Oklahoma City bombing trial of Terry L Nichols after three weeks of jury selection; 64 jurors must qualify before lawyers can use their peremptory challenges, removing jurors without giving reason, and still have 12 jurors and 6 alternates (M)'",1997-10-19,National Desk,b'29 of 80 Potential Jurors Have Qualified to Serve in Bomb Trial',nyt://article/31308d6e-39fd-53f5-a0a7-8c5463dc887b,['Oklahoma City (Okla)'],U.S.,"b'29 of 80 potential jurors have qualified to serve in Oklahoma City bombing trial of Terry L Nichols after three weeks of jury selection; 64 jurors must qualify before lawyers can use their peremptory challenges, removing jurors without giving reas...'",The New York Times,"['Bombs and Explosives', 'Jury System', 'Terrorism']",News,https://www.nytimes.com/1997/10/19/us/29-of-80-potential-jurors-have-qualified-to-serve-in-bomb-trial.html,560.0
95,95,"b'Libya, apparently encouraged by African and Asian support for its campaign to have United Nations sanctions lifted, is lobbying families of people killed in explosion of Pan Am jet over Scotland in 1988 in hope of persuading them to settle case; Susan Cohen, mother of one of victims, Theodora Cohen, comments (M)'",1997-10-19,Foreign Desk,b'Libya Is Reported to Lobby to Settle Pan Am Explosion Case',nyt://article/cf251952-3d63-5bc9-a6d2-e0d5f1708dc1,"['Scotland', 'Libya']",World,"b'Libya, apparently encouraged by African and Asian support for its campaign to have United Nations sanctions lifted, is lobbying families of people killed in explosion of Pan Am jet over Scotland in 1988 in hope of persuading them to settle case; S...'",The New York Times,"['AIRLINES AND AIRPLANES', 'Bombs and Explosives', 'Embargoes and Economic Sanctions', 'Terrorism']",News,https://www.nytimes.com/1997/10/19/world/libya-is-reported-to-lobby-to-settle-pan-am-explosion-case.html,569.0
94,94,"b'Jury selection enters fourth week, Denver, in trial of Oklahoma City bombing co-conspirator Terry L Nichols; passes halfway mark, with 41 jurors remaining in jury pool (S)'",1997-10-21,National Desk,"b""Jury Pool Is Whittled Down In Bomb Trial's Fourth Week""",nyt://article/cb9c17bf-8b1f-5140-a861-0192f682a0e7,['Oklahoma City (Okla)'],U.S.,"b'Jury selection enters fourth week, Denver, in trial of Oklahoma City bombing co-conspirator Terry L Nichols; passes halfway mark, with 41 jurors remaining in jury pool (S)'",The New York Times,"['Bombs and Explosives', 'Biographical Information', 'Jury System', 'Terrorism']",News,https://www.nytimes.com/1997/10/21/us/jury-pool-is-whittled-down-in-bomb-trial-s-fourth-week.html,479.0
93,93,"b""Editorial, commenting on Libya's efforts to free itself from UN Sanctions imposed for refusing to extradite two suspects in bombing of Pan Am flight 103 over Lockerbie, Scotland, in 1988, says justice would not be served if victims' families accepted Libyan offer of financial settlement, but that offer of trial under Scottish law is worth exploring (S)""",1997-10-21,Editorial Desk,b'Nine Years After Pan Am Flight 103',nyt://article/ca0d10fc-3990-5c7f-9761-0855071117a1,['Libya'],Opinion,"b""Editorial, commenting on Libya's efforts to free itself from UN Sanctions imposed for refusing to extradite two suspects in bombing of Pan Am flight 103 over Lockerbie, Scotland, in 1988, says justice would not be served if victims' families accep...""",The New York Times,"['ACCIDENTS AND SAFETY', 'AIRLINES AND AIRPLANES', 'Bombs and Explosives', 'Editorials', 'Embargoes and Economic Sanctions', 'Terrorism']",Editorial,https://www.nytimes.com/1997/10/21/opinion/nine-years-after-pan-am-flight-103.html,276.0
92,92,"b""Secret Service agent Brian G Parr tells Federal District Court jury that Ramzi Ahmed Yousef watched from Jersey City waterfront as smoke billowed from Trade Center towers on Feb 26, 1993 after huge blast had torn through center's garage; says that Yousef had hoped that blast, which killed 6 people and injured over 1,000, would topple one of Trade Center towers and kill tens of thousands; Parr's testimony is based on six hours of conversations he and FBI agent Charles Stern had with Yousef on flight to US from Pakistan after his arrest there in 1995; Yousef is on trial in Manhattan on Federal charges of masterminding Trade Center bombing (M)""",1997-10-23,Metropolitan Desk,"b'As Trade Center Smoldered, Suspect Watched, Jury Hears'",nyt://article/7c858486-abf2-5278-bd98-79cacb81bd10,"['New York City', 'Pakistan']",New York,"b""Secret Service agent Brian G Parr tells Federal District Court jury that Ramzi Ahmed Yousef watched from Jersey City waterfront as smoke billowed from Trade Center towers on Feb 26, 1993 after huge blast had torn through center's garage; says that...""",The New York Times,"['World Trade Center (NYC)', 'Terrorism']",News,https://www.nytimes.com/1997/10/23/nyregion/as-trade-center-smoldered-suspect-watched-jury-hears.html,1119.0
91,91,"b""Leftist guerrillas in Colombia succeed in keeping voters away from polls in regional elections; streets are deserted in city of Puerto Rico after bomb blows up local prosecutor's office; photo; guerrillas called boycott and threatened bombings to demonstrate, and deepen, their control over countryside, and humiliate Pres Ernesto Samper's Government (S)""",1997-10-26,Foreign Desk,b'Colombian Insurgents Undermine Election by Scaring Voters',nyt://article/e10ef62e-549d-5556-a9b0-e8904d4aefee,"['Colombia', 'PUERTO RICO (COLOMBIA)']",World,"b""Leftist guerrillas in Colombia succeed in keeping voters away from polls in regional elections; streets are deserted in city of Puerto Rico after bomb blows up local prosecutor's office; photo; guerrillas called boycott and threatened bombings to ...""",The New York Times,"['Bombs and Explosives', 'Elections', 'Terrorism']",News,https://www.nytimes.com/1997/10/26/world/colombian-insurgents-undermine-election-by-scaring-voters.html,855.0
90,90,"b""Col Muammar el-Qaddafi, who has built up Libya's reputation for terrorism for three decades, is now trying to develop its tourist industry; photo (M)""",1997-10-26,Week in Review Desk,b'The World; Come On Down To Sunny Libya!',nyt://article/ad70036c-1c35-5db8-8789-3bae57573435,['Libya'],Week in Review,"b""Col Muammar el-Qaddafi, who has built up Libya's reputation for terrorism for three decades, is now trying to develop its tourist industry; photo (M)""",The New York Times,"['Politics and Government', 'Travel and Vacations', 'Terrorism']",News,https://www.nytimes.com/1997/10/26/weekinreview/the-world-come-on-down-to-sunny-libya.html,897.0
